n,m,sparsiness,number,p,time,name
500,2500,99,1,0.3,0.40066099166870117,sparse
300,900,99,3,0.3,0.1321086883544922,sparse
100,2000,95,0,0.3,0.03571057319641113,sparseextra
200,3400,99,2,0.3,0.12045574188232422,sparseextra
50,75,97,0,0.3,0.006724119186401367,sparse
500,10000,99,0,0.3,0.6775832176208496,sparseextra
50,75,97,2,0.3,0.004751682281494141,sparse
300,5400,99,1,0.3,0.2319040298461914,sparseextra
500,2500,99,2,0.3,0.40424680709838867,sparse
300,4500,95,4,0.3,0.30002307891845703,sparse
300,7200,97,4,0.3,0.2793567180633545,sparseextra
500,7500,97,2,0.3,0.8926844596862793,sparse
1000,65000,95,3,0.3,6.261589288711548,sparseextra
100,2000,95,2,0.3,0.033438682556152344,sparseextra
200,4200,97,1,0.3,0.12374114990234375,sparseextra
50,875,95,1,0.3,0.008884191513061523,sparseextra
200,4200,97,4,0.3,0.12940049171447754,sparseextra
200,5000,95,4,0.3,0.1275615692138672,sparseextra
100,5000,50,1,0.3,0.04788947105407715,density
50,875,95,4,0.3,0.008314132690429688,sparseextra
50,125,95,1,0.3,0.004970550537109375,sparse
300,22500,75,4,0.3,0.6219794750213623,density
1000,25000,99,0,0.3,3.426337480545044,sparseextra
200,400,99,1,0.3,0.06457114219665527,sparse
200,400,99,0,0.3,0.04159116744995117,sparse
50,775,99,4,0.3,0.007827997207641602,sparseextra
500,15000,97,2,0.3,1.1240088939666748,sparseextra
100,100,99,4,0.3,0.02044200897216797,sparse
100,2000,95,4,0.3,0.03232622146606445,sparseextra
500,20000,95,0,0.3,1.837815761566162,sparseextra
300,900,99,0,0.3,0.13437318801879883,sparse
500,20000,95,1,0.3,1.8697113990783691,sparseextra
1000,25000,99,2,0.3,3.4002904891967773,sparseextra
50,25,99,2,0.3,0.004799842834472656,sparse
300,22500,75,1,0.3,0.6310391426086426,density
200,2000,95,3,0.3,0.08624148368835449,sparse
200,3400,99,1,0.3,0.0908503532409668,sparseextra
100,1600,99,4,0.3,0.02321147918701172,sparseextra
500,10000,99,4,0.3,0.6610150337219238,sparseextra
1000,45000,97,1,0.3,7.8254313468933105,sparseextra
50,25,99,3,0.3,0.004762887954711914,sparse
200,2000,95,2,0.3,0.11381649971008301,sparse
50,775,99,1,0.3,0.007115840911865234,sparseextra
100,1600,99,1,0.3,0.022407054901123047,sparseextra
1000,10000,99,0,0.3,2.4569993019104004,sparse
300,4500,95,1,0.3,0.3072829246520996,sparse
100,300,97,0,0.3,0.02606487274169922,sparse
300,900,99,4,0.3,0.1354517936706543,sparse
500,12500,95,1,0.3,1.7077486515045166,sparse
100,1800,97,3,0.3,0.02901482582092285,sparseextra
300,2700,97,2,0.3,0.19081473350524902,sparse
1000,30000,97,4,0.3,7.001144647598267,sparse
300,45000,50,1,0.3,1.2884116172790527,density
100,300,97,4,0.3,0.02646923065185547,sparse
100,500,95,2,0.3,0.033536434173583984,sparse
500,12500,95,4,0.3,1.721588134765625,sparse
300,45000,50,4,0.3,1.3184406757354736,density
100,500,95,3,0.3,0.03334546089172363,sparse
300,2700,97,1,0.3,0.19191217422485352,sparse
1000,50000,95,2,0.3,5.190719127655029,sparse
1000,45000,97,3,0.3,7.811589956283569,sparseextra
200,3400,99,4,0.3,0.09915280342102051,sparseextra
500,7500,97,0,0.3,0.883497953414917,sparse
1000,65000,95,2,0.3,6.280065298080444,sparseextra
300,9000,95,4,0.3,0.38425278663635254,sparseextra
200,1200,97,4,0.3,0.07238197326660156,sparse
300,7200,97,3,0.3,0.27499938011169434,sparseextra
300,4500,95,2,0.3,0.2982301712036133,sparse
300,45000,50,3,0.3,1.2631492614746094,density
500,15000,97,3,0.3,1.1312971115112305,sparseextra
100,5000,50,0,0.3,0.04981207847595215,density
50,775,99,3,0.3,0.00794529914855957,sparseextra
1000,50000,95,4,0.3,5.050485372543335,sparse
100,500,95,0,0.3,0.03268599510192871,sparse
100,2000,95,3,0.3,0.03853774070739746,sparseextra
100,1800,97,1,0.3,0.030871868133544922,sparseextra
200,1200,97,0,0.3,0.09038758277893066,sparse
1000,30000,97,3,0.3,6.950243234634399,sparse
300,9000,95,1,0.3,0.3862452507019043,sparseextra
500,2500,99,0,0.3,0.4075040817260742,sparse
1000,45000,97,4,0.5,11.242156267166138,sparseextra
100,1600,99,2,0.5,0.023026704788208008,sparseextra
200,2000,95,1,0.5,0.12049150466918945,sparse
50,875,95,0,0.5,0.008886098861694336,sparseextra
1000,10000,99,3,0.5,4.096616268157959,sparse
200,5000,95,3,0.5,0.21516013145446777,sparseextra
1000,50000,95,0,0.5,15.955435514450073,sparse
50,125,95,2,0.5,0.009571313858032227,sparse
50,875,95,3,0.5,0.009207963943481445,sparseextra
200,5000,95,2,0.5,0.2063138484954834,sparseextra
300,4500,95,3,0.5,0.32123565673828125,sparse
300,22500,75,0,0.5,0.6267905235290527,density
50,825,97,3,0.5,0.008794307708740234,sparseextra
300,7200,97,1,0.5,0.4892711639404297,sparseextra
1000,10000,99,4,0.5,4.047220468521118,sparse
100,100,99,2,0.5,0.019298791885375977,sparse
300,22500,75,2,0.5,0.6219334602355957,density
300,5400,99,3,0.5,0.2947695255279541,sparseextra
300,2700,97,3,0.5,0.28284454345703125,sparse
300,5400,99,2,0.5,0.2773773670196533,sparseextra
50,125,95,0,0.5,0.005490303039550781,sparse
200,5000,95,0,0.5,0.20503926277160645,sparseextra
50,25,99,1,0.5,0.008060216903686523,sparse
100,2000,95,1,0.5,0.03674054145812988,sparseextra
100,5000,50,3,0.5,0.061397552490234375,density
500,15000,97,1,0.5,1.1874306201934814,sparseextra
50,825,97,2,0.5,0.008623838424682617,sparseextra
500,15000,97,4,0.5,1.1529009342193604,sparseextra
500,20000,95,3,0.5,1.9067230224609375,sparseextra
200,1200,97,3,0.5,0.08554911613464355,sparse
100,5000,50,4,0.5,0.06350564956665039,density
200,400,99,3,0.5,0.0434873104095459,sparse
200,2000,95,4,0.5,0.12668108940124512,sparse
300,4500,95,0,0.5,0.3497145175933838,sparse
1000,25000,99,3,0.5,4.886915445327759,sparseextra
100,1800,97,4,0.5,0.029056310653686523,sparseextra
500,20000,95,2,0.5,1.9479730129241943,sparseextra
500,15000,97,0,0.5,1.1945617198944092,sparseextra
200,400,99,4,0.5,0.04159832000732422,sparse
300,2700,97,4,0.5,0.2771906852722168,sparse
500,2500,99,3,0.5,0.48893189430236816,sparse
1000,50000,95,1,0.5,15.420451164245605,sparse
300,900,99,1,0.5,0.11867022514343262,sparse
50,75,97,1,0.5,0.006822824478149414,sparse
1000,25000,99,1,0.5,5.084217309951782,sparseextra
50,125,95,3,0.5,0.005632877349853516,sparse
50,75,97,4,0.5,0.0049746036529541016,sparse
1000,45000,97,2,0.5,11.219226837158203,sparseextra
50,75,97,3,0.5,0.00498509407043457,sparse
500,20000,95,4,0.5,1.9336328506469727,sparseextra
500,7500,97,3,0.5,0.9592680931091309,sparse
100,500,95,1,0.5,0.018596172332763672,sparse
100,1800,97,0,0.5,0.03517794609069824,sparseextra
300,2700,97,0,0.5,0.28444933891296387,sparse
100,100,99,1,0.5,0.010333538055419922,sparse
500,10000,99,3,0.5,0.9837584495544434,sparseextra
500,10000,99,1,0.5,1.0910000801086426,sparseextra
100,2500,75,4,0.5,0.04345226287841797,density
1000,65000,95,0,0.5,16.504637479782104,sparseextra
300,900,99,2,0.5,0.12734413146972656,sparse
100,300,97,3,0.5,0.027765274047851562,sparse
50,825,97,1,0.5,0.01510310173034668,sparseextra
100,1800,97,2,0.5,0.04761934280395508,sparseextra
200,400,99,2,0.5,0.051126718521118164,sparse
1000,65000,95,4,0.5,16.406813859939575,sparseextra
200,4200,97,3,0.5,0.16074323654174805,sparseextra
500,7500,97,1,0.5,0.9339199066162109,sparse
300,9000,95,2,0.5,0.4841899871826172,sparseextra
500,12500,95,3,0.5,1.7642714977264404,sparse
1000,10000,99,2,0.5,3.9992294311523438,sparse
100,300,97,2,0.5,0.026326417922973633,sparse
300,45000,50,0,0.5,1.3160154819488525,density
300,5400,99,0,0.5,0.2870306968688965,sparseextra
50,825,97,4,0.5,0.012106895446777344,sparseextra
100,100,99,3,0.5,0.011333465576171875,sparse
100,1600,99,3,0.5,0.022550106048583984,sparseextra
300,9000,95,0,0.5,0.46767663955688477,sparseextra
200,3400,99,3,0.5,0.1076970100402832,sparseextra
1000,30000,97,2,0.5,10.636100769042969,sparse
50,25,99,4,0.5,0.006325483322143555,sparse
50,25,99,0,0.5,0.004831075668334961,sparse
1000,30000,97,0,0.5,10.609211444854736,sparse
100,5000,50,2,0.5,0.06439852714538574,density
200,3400,99,0,0.5,0.0953984260559082,sparseextra
1000,50000,95,3,0.5,15.900928497314453,sparse
1000,45000,97,0,0.5,11.194432497024536,sparseextra
300,5400,99,4,0.5,0.2745528221130371,sparseextra
500,12500,95,0,0.5,1.7446002960205078,sparse
100,1600,99,0,0.5,0.022637605667114258,sparseextra
100,2500,75,2,0.5,0.043392181396484375,density
100,500,95,4,0.5,0.01836681365966797,sparse
500,12500,95,2,0.5,1.7794690132141113,sparse
200,4200,97,2,0.5,0.1483306884765625,sparseextra
300,45000,50,2,0.5,1.2856781482696533,density
200,1200,97,2,0.5,0.07814216613769531,sparse
50,825,97,0,0.5,0.008488178253173828,sparseextra
200,4200,97,0,0.5,0.16019892692565918,sparseextra
100,300,97,1,0.5,0.02202892303466797,sparse
1000,65000,95,1,0.5,16.12415099143982,sparseextra
1000,10000,99,1,0.5,4.055414915084839,sparse
500,10000,99,2,0.5,1.0509061813354492,sparseextra
100,2500,75,0,0.5,0.04750370979309082,density
300,7200,97,2,0.5,0.4838874340057373,sparseextra
300,22500,75,3,0.5,0.6283481121063232,density
500,7500,97,4,0.5,0.9442775249481201,sparse
200,5000,95,1,0.5,0.20005178451538086,sparseextra
1000,30000,97,1,0.5,10.512637853622437,sparse
50,875,95,2,0.5,0.008975028991699219,sparseextra
1000,25000,99,4,0.5,5.043478727340698,sparseextra
50,775,99,2,0.5,0.007903337478637695,sparseextra
100,2500,75,3,0.5,0.042971134185791016,density
